DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,European Millionaire Maker,DrawNumber
04-Apr-2023,10,16,31,33,50,3,8,"XCRG53171","",1621
31-Mar-2023,16,18,28,34,47,5,10,"JBQS10867","",1620
28-Mar-2023,16,21,34,36,44,9,10,"HZQP15472","",1619
24-Mar-2023,5,12,25,36,46,6,10,"VWPQ61679","",1618
21-Mar-2023,1,9,20,29,32,2,3,"VWPP27821","",1617
17-Mar-2023,5,15,26,37,49,8,11,"JMKS65857","",1616
14-Mar-2023,16,26,28,31,46,11,12,"JTNX95100","",1615
10-Mar-2023,9,16,37,38,48,2,7,"JSNM58445","",1614
07-Mar-2023,11,13,24,35,50,6,11,"TRMW27959","",1613
03-Mar-2023,3,6,8,24,50,10,11,"MQMB90850","",1612
28-Feb-2023,12,29,33,37,47,5,10,"JPLW72326","",1611
24-Feb-2023,7,23,34,42,48,1,3,"ZNLL50113","",1610
21-Feb-2023,21,22,34,41,49,2,7,"HMKX21365","",1609
17-Feb-2023,8,23,27,42,45,1,9,"VLKL51715","",1608
14-Feb-2023,24,26,38,43,46,2,3,"XKJZ87190","",1607
10-Feb-2023,3,13,25,36,47,3,8,"XJJN66007","",1606
07-Feb-2023,2,8,34,44,47,3,9,"JHJG53786","",1605
03-Feb-2023,2,14,17,32,45,3,10,"JWDS44204","AMDK11832,BNCB05332,BNCH41130,BNDB78859,BNDK93982,BNDX51433,BNFH28768,EBBB78253,EBBB90909,EBBG04302,EBBJ35559,EBBJ37625,EBBL14679,EBBX31108,EBBX76080,EBBZ08058,EBBZ12903,EBCM25219,EBCW45960,EBDJ61000,EBDQ56709,EBDW87292,EBFJ08175,EBFM34831,FBZT94515,FCML21693,FCMN51796,FCXG67833,FDDH55659,FDTM35909,FFHH93009,FFVZ36692,FFWC29113,FGJD05394,FHPZ43160,FLHQ26491,FLKT11445,FNLT01414,FNQW38044,FNXG68102,FPVL38712,FQHQ41129,FQQT17993,FRBK82158,FRZV25376,FSGQ57281,FTJN25674,FTVF64785,FVTG10597,HGHR94826,HGHT74423,INTZ21276,INVD35065,INVF65558,JFGZ13141,JFHD07976,JGHM64419,JGHT17331,JGHW68331,JGHW95763,JGJC18719,MFHF58226,MGHP03745,MGHQ51755,MGHW63274,OGHW46300,OLKX09020,PBFF00676,PBFR16971,PBHS37662,PBJG05934,PBKK14253,PBLD03754,PBLR06967,PBNB35077,PBQF20128,PBQL05351,PBRD24811,RLSF88972,SBBZ19730,SBCJ24768,SBCN33015,TFGZ38214,VGHJ21088,VGHQ07766,VGHX17537,VGHX98305,WXRR87900,XFHF13164,XGHJ98325,XGHK29974,XGHR29219,XGHS15058,XGHT17227,XGHX51373,XGHZ95924,ZFGX28998,ZGHK95993,ZGHQ90252,ZGHZ98751",1604
31-Jan-2023,7,12,19,33,43,3,7,"JDGS93554","",1603
27-Jan-2023,8,9,15,19,31,10,12,"JDGP33452","",1602
24-Jan-2023,11,27,41,43,47,7,11,"XCGK09310","",1601
20-Jan-2023,3,6,13,40,42,7,11,"MZFM50808","",1600
17-Jan-2023,18,21,30,46,50,2,6,"TZFS89417","",1599
13-Jan-2023,4,13,25,33,37,5,10,"ZXFF38208","",1598
10-Jan-2023,11,13,34,40,42,3,10,"JWFB03037","",1597
06-Jan-2023,16,31,35,44,45,4,12,"TVDP83062","",1596
03-Jan-2023,20,21,29,45,46,3,10,"VPBM23073","",1595
30-Dec-2022,17,34,42,47,48,1,9,"ZSCR30630","",1594
27-Dec-2022,19,31,33,34,43,3,5,"JMZT15349","",1593
23-Dec-2022,16,17,23,26,35,5,11,"HQCD42504","",1592
20-Dec-2022,1,11,17,20,27,4,5,"HPBN01675","",1591
16-Dec-2022,2,15,19,35,44,2,7,"JMZT77520","",1590
13-Dec-2022,3,9,12,26,30,10,11,"VMZV82706","",1589
09-Dec-2022,8,27,31,46,50,1,3,"ZKXW22119","",1588
06-Dec-2022,12,20,25,26,27,8,12,"XKZF85935","",1587
02-Dec-2022,12,21,35,39,45,6,11,"VJXP00186","",1586
29-Nov-2022,15,20,24,35,38,8,12,"VHWZ84768","",1585
25-Nov-2022,19,21,35,37,39,2,6,"XGWL62203","",1584
22-Nov-2022,21,22,24,29,42,3,11,"TFVX51760","",1583
18-Nov-2022,13,16,19,35,41,1,11,"ZCVC19508","",1582
15-Nov-2022,13,21,24,31,33,1,12,"HCVM44086","",1581
11-Nov-2022,2,19,24,25,44,2,10,"ZZTJ84772","",1580
08-Nov-2022,3,5,32,33,50,1,8,"TZTM89596","",1579
04-Nov-2022,2,11,37,45,47,2,3,"HXTD14995,JXSN51271,JXSS60732,JXTC14778,JXTH86450,MXSP73821,MXSR06941,MXSS43414,MXSW73290,TXSP75880,TXSQ82361,TXSR64455,TXSW54970,VXSM90494,VXTG16749,XXTG64368,ZWSC63710,ZXSN93656,ZXSS56173,ZXTD07538","",1578
01-Nov-2022,19,37,42,47,48,1,6,"XWRZ39862","",1577
28-Oct-2022,14,16,21,28,35,1,11,"TTQW20439","",1576
25-Oct-2022,7,24,34,39,46,1,6,"HTRH78960","",1575
21-Oct-2022,25,26,28,38,40,1,6,"XSQK64503","",1574
18-Oct-2022,3,5,13,42,48,1,6,"MRPW81128","",1573
14-Oct-2022,24,28,29,34,48,3,7,"TQPT28825","",1572
11-Oct-2022,8,23,32,35,40,1,8,"HPPG75814","",1571